17위,['da_20180822222952675']
급진,['da_20180822222302580']
1점,['da_20180822212600668']
오리,['da_20180822223413713']
제안,"['da_20180822222918670', 'da_20180822221354451']"
연합,"['da_20180822223702738', 'da_20180822223239698', 'da_20180822222952675', 'da_20180822222918670', 'da_20180822222741642', 'da_20180822222655633', 'da_20180822222357596', 'da_20180822222355595', 'da_20180822222302580', 'da_20180822221258437', 'da_20180822221240432', 'da_20180822221235430', 'da_20180822221233428', 'da_20180822221221427', 'da_20180822221219426', 'da_20180822221212423', 'da_20180822221210421', 'da_20180822221207420', 'da_20180822221206419', 'da_20180822220737340', 'da_20180822220732338', 'da_20180822220731336', 'da_20180822220725333', 'da_20180822220723332', 'da_20180822220305290', 'da_20180822220230277', 'da_20180822220202272', 'da_20180822215839226', 'da_20180822215834222', 'da_20180822215254150', 'da_20180822214351975', 'da_20180822214349974', 'da_20180822214021927', 'da_20180822213759893', 'da_20180822213706870', 'da_20180822213310801', 'da_20180822213148778', 'da_20180822213136773', 'da_20180822212637685', 'da_20180822212603670', 'da_20180822212600668', 'da_20180822212156584']"
전화,"['da_20180822220746343', 'da_20180822220305290']"
메드,['da_20180822222741642']
총통,"['da_20180822223702738', 'da_20180822222741642']"
미디어,['da_20180822212852722']
지진,['da_20180822223413713']
정보위,['da_20180822213837899']
유철,['da_20180822222302580']
우장호,['da_20180822221354451']
진척,"['da_20180822220230277', 'da_20180822213310801']"
메체,['da_20180822223702738']
수영장,"['da_20180822213706870', 'da_20180822213148778', 'da_20180822213136773']"
시티,"['da_20180822222952675', 'da_20180822221258437', 'da_20180822221240432', 'da_20180822221235430', 'da_20180822221233428', 'da_20180822221221427', 'da_20180822221219426', 'da_20180822221212423', 'da_20180822221210421', 'da_20180822221206419', 'da_20180822220737340', 'da_20180822220732338', 'da_20180822220731336', 'da_20180822214021927']"
둘째,['da_20180822215254150']
23일,"['da_20180822220202272', 'da_20180822213759893']"
차관급,['da_20180822212852722']
8강,"['da_20180822222952675', 'da_20180822214021927']"
6조엔,['da_20180822222918670']
목표,"['da_20180822222302580', 'da_20180822221354451']"
현대자동차,['da_20180822214021927']
당신,['da_20180822213902905']
시선,['da_20180822215254150']
대다수,['da_20180822222302580']
윤설영,['da_20180822220746343']
3회전,['da_20180822214021927']
계정,['da_20180822222302580']
이드,['da_20180822215254150']
공세,"['da_20180822222302580', 'da_20180822213837899']"
외교,"['da_20180822223702738', 'da_20180822222741642', 'da_20180822221354451', 'da_20180822213837898']"
쿠스,['da_20180822223413713']
군네스,['da_20180822214021927']
압박,"['da_20180822223702738', 'da_20180822215254150', 'da_20180822212852722']"
경수로,"['da_20180822220230277', 'da_20180822213310801']"
1패,['da_20180822222952675']
사우디,['da_20180822215656205']
국방,['da_20180822215254150']
방안,"['da_20180822223656737', 'da_20180822223239698', 'da_20180822222918670']"
결의안,['da_20180822215254150']
안보,"['da_20180822221354451', 'da_20180822215254150']"
행동,"['da_20180822220230277', 'da_20180822213310801']"
작업,"['da_20180822220230277', 'da_20180822215254150', 'da_20180822213310801']"
방사성,"['da_20180822220230277', 'da_20180822213310801']"
공항,"['da_20180822223643735', 'da_20180822222700634', 'da_20180822213837898', 'da_20180822213759893']"
프로그램,['da_20180822223643735']
자오룽,['da_20180822222952675']
순례중,['da_20180822215656205']
상호,['da_20180822221354451']
카르노,"['da_20180822213706870', 'da_20180822213443824', 'da_20180822213438823', 'da_20180822213434822', 'da_20180822213430817', 'da_20180822213148778', 'da_20180822213136773']"
명절,['da_20180822215254150']
인권특별보고관,['da_20180822215254150']
이래,['da_20180822213032759']
장규철,['da_20180822213430817']
해석,['da_20180822212852722']
송환,['da_20180822215254150']
눈물,['da_20180822215254150']
3세,"['da_20180822223702738', 'da_20180822222741642']"
국가자문,['da_20180822215254150']
22일,"['da_20180822223702738', 'da_20180822223656737', 'da_20180822223643735', 'da_20180822223413713', 'da_20180822223239698', 'da_20180822222952675', 'da_20180822222918670', 'da_20180822222741642', 'da_20180822222707640', 'da_20180822222655633', 'da_20180822222600622', 'da_20180822222357596', 'da_20180822222355595', 'da_20180822222302580', 'da_20180822221805513', 'da_20180822221354451', 'da_20180822221258437', 'da_20180822221240432', 'da_20180822221235430', 'da_20180822221233428', 'da_20180822221221427', 'da_20180822221219426', 'da_20180822221212423', 'da_20180822221210421', 'da_20180822221207420', 'da_20180822221206419', 'da_20180822220746343', 'da_20180822220737340', 'da_20180822220732338', 'da_20180822220731336', 'da_20180822220725333', 'da_20180822220723332', 'da_20180822220305290', 'da_20180822220230277', 'da_20180822215839226', 'da_20180822215834222', 'da_20180822215656205', 'da_20180822215254150', 'da_20180822214920079', 'da_20180822214909077', 'da_20180822214351975', 'da_20180822214349974', 'da_20180822214021927', 'da_20180822213837898', 'da_20180822213759893', 'da_20180822213706870', 'da_20180822213443824', 'da_20180822213438823', 'da_20180822213434822', 'da_20180822213430817', 'da_20180822213310801', 'da_20180822213148778', 'da_20180822213136773', 'da_20180822212723708', 'da_20180822212637685', 'da_20180822212603670', 'da_20180822212600668', 'da_20180822212156584']"
허용,['da_20180822222302580']
10억,['da_20180822215656205']
참가,['da_20180822215656205']
주권,['da_20180822213837898']
기상학자,['da_20180822213032759']
이례적,['da_20180822213032759']
폭염,['da_20180822213032759']
관리,['da_20180822221354451']
결정,"['da_20180822213902905', 'da_20180822213837899', 'da_20180822213837898']"
수비수,['da_20180822222952675']
자행,['da_20180822215254150']
소수민족,['da_20180822215254150']
인정,"['da_20180822223702738', 'da_20180822222741642', 'da_20180822213902905', 'da_20180822213837899']"
74달러,['da_20180822212723708']
환율전쟁,['da_20180822212852722']
설계,"['da_20180822220230277', 'da_20180822213310801']"
질문,['da_20180822213837899']
심이,['da_20180822215834222']
원유가,['da_20180822212723708']
통화,"['da_20180822223656737', 'da_20180822223239698']"
수감,['da_20180822215254150']
조직,['da_20180822222302580']
인도네시아,"['da_20180822222952675', 'da_20180822222707640', 'da_20180822222655633', 'da_20180822222600622', 'da_20180822222357596', 'da_20180822222355595', 'da_20180822221805513', 'da_20180822221258437', 'da_20180822221240432', 'da_20180822221235430', 'da_20180822221233428', 'da_20180822221221427', 'da_20180822221219426', 'da_20180822221212423', 'da_20180822221210421', 'da_20180822221206419', 'da_20180822220737340', 'da_20180822220732338', 'da_20180822220731336', 'da_20180822220725333', 'da_20180822220723332', 'da_20180822215839226', 'da_20180822215834222', 'da_20180822214351975', 'da_20180822214349974', 'da_20180822214021927', 'da_20180822213706870', 'da_20180822213443824', 'da_20180822213438823', 'da_20180822213434822', 'da_20180822213430817', 'da_20180822213148778', 'da_20180822213136773', 'da_20180822212637685', 'da_20180822212603670', 'da_20180822212600668', 'da_20180822212156584']"
동쪽,"['da_20180822222700634', 'da_20180822214410991', 'da_20180822213759893']"
중수,"['da_20180822220230277', 'da_20180822213310801']"
앙코르,['da_20180822223643735']
국경,['da_20180822215254150']
올해,"['da_20180822223643735', 'da_20180822222302580', 'da_20180822214909077', 'da_20180822213837898', 'da_20180822213032759']"
연구용,"['da_20180822220230277', 'da_20180822213310801']"
야바,['da_20180822215254150']
시프,['da_20180822213837899']
암살,['da_20180822215254150']
그동안,['da_20180822213902905']
특검,"['da_20180822213902905', 'da_20180822213837899']"
잠재적,['da_20180822213837899']
단체전,"['da_20180822222707640', 'da_20180822222600622', 'da_20180822221805513']"
서귀포시,['da_20180822221354451']
한국,"['da_20180822222952675', 'da_20180822222700634', 'da_20180822221354451', 'da_20180822220202272', 'da_20180822215254150', 'da_20180822214021927', 'da_20180822213759893', 'da_20180822212637685']"
투항,"['da_20180822222302580', 'da_20180822212852722']"
잔여,['da_20180822214410991']
부상,"['da_20180822221206419', 'da_20180822220746343', 'da_20180822220737340', 'da_20180822213902905']"
유엔,['da_20180822215254150']
여론,['da_20180822215254150']
진상규명,['da_20180822215254150']
8만4000여,['da_20180822215656205']
엑스포,['da_20180822222655633']
자바,['da_20180822222302580']
논평,['da_20180822214920079']
윤시열,['da_20180822212637685']
네트워커,['da_20180822221354451']
성전,['da_20180822222302580']
석유수출,['da_20180822212723708']
토사,"['da_20180822222700634', 'da_20180822220202272', 'da_20180822213759893']"
동안,['da_20180822222302580']
중형급,['da_20180822220746343']
항공편,"['da_20180822222700634', 'da_20180822213759893']"
퇴장,['da_20180822222952675']
통제,['da_20180822222302580']
상대적,"['da_20180822222952675', 'da_20180822221354451']"
76위,['da_20180822222952675']
추가,"['da_20180822222952675', 'da_20180822214410991', 'da_20180822212852722']"
현과,['da_20180822220746343']
여자단식,['da_20180822214021927']
기후,['da_20180822213032759']
틸러,['da_20180822221354451']
극찬,['da_20180822221354451']
참여,"['da_20180822223702738', 'da_20180822222741642', 'da_20180822220230277', 'da_20180822213837899', 'da_20180822213310801']"
선대,"['da_20180822213902905', 'da_20180822213837899']"
1승1패,['da_20180822212637685']
북한,"['da_20180822223656737', 'da_20180822223239698', 'da_20180822222952675', 'da_20180822222655633', 'da_20180822222357596', 'da_20180822222355595', 'da_20180822221354451', 'da_20180822220725333', 'da_20180822220723332', 'da_20180822220305290', 'da_20180822215839226', 'da_20180822215834222', 'da_20180822214351975', 'da_20180822214349974', 'da_20180822212603670', 'da_20180822212600668', 'da_20180822212156584']"
육박,['da_20180822214410991']
