최우수,['da_20180822203232654']
림룡철,['da_20180822195613959']
전주,"['da_20180822182400784', 'da_20180822180622340', 'da_20180822175551021']"
재정고속도,['da_20180822174513667']
제안,"['da_20180822211554439', 'da_20180822195613959', 'da_20180822193112352', 'da_20180822190644741', 'da_20180822184638340', 'da_20180822183822163', 'da_20180822182100729', 'da_20180822180622340', 'da_20180822180158185', 'da_20180822175401969', 'da_20180822175325948', 'da_20180822174736728', 'da_20180822174503660']"
영향권,"['da_20180822193431423', 'da_20180822184101226', 'da_20180822182316771', 'da_20180822173617339']"
전전,"['da_20180822194229621', 'da_20180822183152981']"
칸막이,['da_20180822182356780']
진척,['da_20180822184142246']
회계연도,"['da_20180822193502436', 'da_20180822183152981', 'da_20180822174508666']"
소도시,['da_20180822191604001']
보전,['da_20180822180147178']
남초,['da_20180822174124551']
양심,"['da_20180822190244643', 'da_20180822184647343', 'da_20180822182658852', 'da_20180822175317946']"
기관,"['da_20180822211534429', 'da_20180822203232654', 'da_20180822203223649', 'da_20180822201803384', 'da_20180822194212614', 'da_20180822193502436', 'da_20180822192614231', 'da_20180822192424188', 'da_20180822191803040', 'da_20180822191602998', 'da_20180822190902795', 'da_20180822190244643', 'da_20180822184941403', 'da_20180822184657348', 'da_20180822184647343', 'da_20180822184101226', 'da_20180822183327023', 'da_20180822182726867', 'da_20180822182658852', 'da_20180822182532820', 'da_20180822182316771', 'da_20180822182100731', 'da_20180822182100729', 'da_20180822181500598', 'da_20180822175855084', 'da_20180822175708057', 'da_20180822175401967', 'da_20180822175325948', 'da_20180822175317946', 'da_20180822175102878', 'da_20180822174852774', 'da_20180822173650356', 'da_20180822173617339', 'da_20180822173402235', 'da_20180822173323221']"
조카,"['da_20180822211607445', 'da_20180822200102098', 'da_20180822192813281', 'da_20180822192627233', 'da_20180822190304657', 'da_20180822184704351', 'da_20180822181050492', 'da_20180822180300214', 'da_20180822175352956', 'da_20180822174941795']"
박자,"['da_20180822205020956', 'da_20180822200742195', 'da_20180822192031088', 'da_20180822191800034', 'da_20180822190603729', 'da_20180822183559085', 'da_20180822181047491', 'da_20180822180258213', 'da_20180822175602025', 'da_20180822175202918']"
리광필씨,['da_20180822181050492']
전라,['da_20180822173617339']
부위원장,"['da_20180822211200373', 'da_20180822192031088', 'da_20180822190550718', 'da_20180822180040145']"
압박,"['da_20180822210000141', 'da_20180822194234625', 'da_20180822191803040', 'da_20180822190644741', 'da_20180822185704550', 'da_20180822185503512', 'da_20180822182213754', 'da_20180822182100732', 'da_20180822181805672', 'da_20180822181802667', 'da_20180822180842388', 'da_20180822180712363', 'da_20180822180258213', 'da_20180822175401967', 'da_20180822174814767', 'da_20180822174736728', 'da_20180822173907446', 'da_20180822173629345', 'da_20180822173502265']"
제주국제공항,"['da_20180822182316771', 'da_20180822173617339']"
경제부처,['da_20180822191800034']
여동생,"['da_20180822211607445', 'da_20180822204349849', 'da_20180822202703534', 'da_20180822202701532', 'da_20180822200102098', 'da_20180822192627233', 'da_20180822191501967', 'da_20180822190304657', 'da_20180822181502605', 'da_20180822180600297', 'da_20180822180300214', 'da_20180822175352956', 'da_20180822173423245']"
국방,"['da_20180822205836119', 'da_20180822205029959', 'da_20180822204710902', 'da_20180822211534429', 'da_20180822202005415', 'da_20180822200602166', 'da_20180822200340142', 'da_20180822200046092', 'da_20180822200004062', 'da_20180822195452909', 'da_20180822193900536', 'da_20180822192614230', 'da_20180822191838055', 'da_20180822191615005', 'da_20180822191502972', 'da_20180822190311660', 'da_20180822184657348', 'da_20180822184256272', 'da_20180822184142246', 'da_20180822184101227', 'da_20180822183541080', 'da_20180822183516074', 'da_20180822181859683', 'da_20180822175401965', 'da_20180822175400962', 'da_20180822173737389']"
안보,"['da_20180822205029959', 'da_20180822200602166', 'da_20180822195613959', 'da_20180822195510922', 'da_20180822194212614', 'da_20180822193900536', 'da_20180822192614230', 'da_20180822192356171', 'da_20180822191838055', 'da_20180822191615005', 'da_20180822190304657', 'da_20180822184101227', 'da_20180822184101226', 'da_20180822183541080', 'da_20180822183516074', 'da_20180822175401965', 'da_20180822173737389', 'da_20180822173402235']"
나무,['da_20180822193431423']
시민참여프로그램,['da_20180822180150182']
상존,"['da_20180822184256272', 'da_20180822173737389']"
노회찬,"['da_20180822211200373', 'da_20180822194234625', 'da_20180822185952595', 'da_20180822183822163', 'da_20180822182100732', 'da_20180822181802667', 'da_20180822181200522', 'da_20180822173907446', 'da_20180822173629345']"
통지,['da_20180822175855084']
상호,"['da_20180822200004062', 'da_20180822192442190', 'da_20180822191602998', 'da_20180822184256272', 'da_20180822181802666', 'da_20180822181115508', 'da_20180822175414987', 'da_20180822174555681', 'da_20180822173928461', 'da_20180822173502265']"
치매안심센터,['da_20180822183024945']
쌍방,['da_20180822195357884']
오르기,['da_20180822180258213']
협업부서,['da_20180822182316771']
일반적,"['da_20180822175202918', 'da_20180822173737389']"
면탈,"['da_20180822190244643', 'da_20180822184647343', 'da_20180822175317946']"
조정실,['da_20180822194212614']
사상구청,['da_20180822174020505']
교도소,"['da_20180822192424188', 'da_20180822190244643', 'da_20180822184647343', 'da_20180822182658852', 'da_20180822175317946', 'da_20180822174852774']"
코미디,['da_20180822181003437']
도시개발사업,['da_20180822173359233']
해석,"['da_20180822205716100', 'da_20180822193502436', 'da_20180822183559085', 'da_20180822183459057', 'da_20180822182100732', 'da_20180822182100729', 'da_20180822180150182', 'da_20180822175602025', 'da_20180822175401967', 'da_20180822175150914', 'da_20180822174429628', 'da_20180822173907446']"
